"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Rep_ev_freq","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","DL_I2","Av_exc","Bias_type"
"3747",5187,0.22314355131421,3,0,4.7,0.5,0.0016076721048329,0.0030485259126608,0.00300597509906403,-0.00457759343060615,0.0439843952467805,0.0504389018229331,0.049750051644666,0.536436455636755,0.9512,0.963051967557825,0.9647,0.9531,0.949934915390007,0.9471,0.947031140482627,0.9653,0.698678149409173,0.9581,-0.0054,-0.00490637829177931,-0.0043,-0.0029,-0.00300390507659958,0.0017,0.00170221287673976,-0.0045,0.0123172441417985,-0.0055,0.209728894666685,0.223038091718445,0.224576620206929,0.732440542426454,14.6930892915597,0.0014,"None"
"3748",5188,0.22314355131421,3,0,20,0.1,-0.00729656348766194,-0.00325513147942805,-0.00360360402914731,-0.411822436578942,0.277169668348838,0.283518148768308,0.281546375509042,465.712479765729,0.980969551282051,0.982366496343052,0.982471955128205,0.97265625,0.973048792706142,0.94541266025641,0.945396252880473,0.982572115384615,0.69393842548205,0.981470352564103,0.00380608974358974,0.00300571085061617,0.00310496794871795,0.00310496794871795,0.0035066626590522,-0.00150240384615385,-0.00150285542530809,0.00300480769230769,0.0469798657718121,0.00370592948717949,0.526444856887192,0.530623775219482,0.532480948445848,21.5775236057383,9.78112057453252,0.0629,"None"
"3749",5189,0.22314355131421,3,0,20,0.3,0.00938514930540937,0.0118941564552471,0.0121604188323096,-0.0528290562824428,0.129343898136465,0.136285328408024,0.136375745249176,8.75627880693984,0.9603,0.968387354941977,0.9694,0.9587,0.957382953181273,0.9474,0.947378951580632,0.97,0.6961,0.9644,-0.0037,-0.00420168067226891,-0.0038,-0.0047,-0.00480192076830732,-8e-04,-0.00080032012805122,-0.0038,0.0181,-0.0042,0.35953962783451,0.36910905382063,0.368995228487558,2.95877733769974,14.5323945686958,0,"None"
"3750",5190,0.22314355131421,3,0,20,0.5,0.0015600979679781,0.00556235250700066,0.00569396201149552,-0.118022112698625,0.109516675992779,0.117023136883905,0.116752304270146,11.6279682509455,0.9542,0.963789136741022,0.9649,0.9563,0.954886465939782,0.952,0.951985595678704,0.9654,0.6967,0.9592,0.0012,0.00200060018005402,0.0013,5e-04,0.00170051015304591,-2e-04,-0.000200060018005402,0.0014,0.0257,0.0014,0.330945908883264,0.341660000910818,0.342058329849991,3.40810806048089,15.4331178243822,0,"None"
"3751",5191,0.22314355131421,3,0,100,0.1,-0.0142488279143094,-0.00850862142661107,-0.00777007583876177,-0.505910774273778,0.141235907626576,0.148924664621904,0.149483672533449,210.397079387187,0.972,0.975085051030618,0.9758,0.9652,0.964378627176306,0.955,0.954972983790274,0.9759,0.680620931397096,0.973,0.0082,0.0069041424854913,0.0066,0.0068,0.00700420252151291,-8e-04,-0.000800480288172904,0.0065,0.0661992989484226,0.0076,0.375562222844587,0.386572428244873,0.385833077427374,14.4969714583941,13.4768928573622,0,"None"
"3752",5192,0.22314355131421,3,0,100,0.3,-0.00301783183994087,-0.000546866152269537,-0.000556780052453743,-0.877816021239054,0.0634917977557536,0.0650259651343722,0.064998232323205,111.376262852707,0.955,0.9663,0.9665,0.9591,0.9586,0.9556,0.9556,0.9667,0.675835167033407,0.9605,-2e-04,-0.0011,-0.0011,-0.0013,-0.0012,-0.001,-0.001,-7e-04,0.0853170634126825,1e-04,0.251970314423494,0.254959649280929,0.255014057041396,10.5174505358912,14.9874923984095,0,"None"
"3753",5193,0.22314355131421,3,0,100,0.5,0.00483066192598131,0.00603633886334468,0.00603624787917637,-9.25877288636709,0.0538746275554234,0.0544892059323973,0.054488909619254,3832.95847412099,0.9496,0.9633,0.9634,0.9561,0.956,0.9513,0.9513,0.9634,0.511830759975937,0.9579,-0.0012,-0.0013,-0.0012,-0.0025,-0.0026,-0.0023,-0.0023,-0.0012,0.335171445758973,-1e-04,0.232070415884001,0.233362205857563,0.233362838444687,61.217720772761,14.9922946655519,0,"None"
"3754",5194,0.22314355131421,3,0,250,0.1,-0.00255955894387905,-0.00103392465268617,-0.000967929948896662,-0.0398014216724466,0.0270787106888304,0.0283075094415425,0.0282787786589703,1.42925088900056,0.9518,0.9633,0.9634,0.9534,0.9525,0.9457,0.9457,0.9637,0.6988,0.9576,0.001,3e-04,0.0012,6e-04,5e-04,0.0019,0.0019,7e-04,0.0226,6e-04,0.164544422067497,0.168168575654217,0.168253592438592,1.19490983625757,14.8481000418395,0,"None"
"3755",5195,0.22314355131421,3,0,250,0.3,-0.001171221078443,-0.000901672883523275,-0.000898333423531433,-0.0234983587037953,0.0118631768053271,0.0122433910109691,0.0122330735663708,1.09466805774771,0.9453,0.959,0.9593,0.9506,0.9505,0.9544,0.9544,0.9594,0.7031,0.9538,0.0019,0.001,5e-04,0.0012,0.0017,2e-04,2e-04,8e-04,0.0053,4e-04,0.108917360166537,0.11060510798522,0.110651716557937,1.04605224889423,14.8627735386828,0,"None"
"3756",5196,0.22314355131421,3,0,250,0.5,0.000248742347061515,0.000254124760248747,0.000253839276901341,-0.0125461154428096,0.00963265451213839,0.0099499773905048,0.00994184863364176,0.707357511342264,0.9525,0.9633,0.9635,0.9524,0.9521,0.9517,0.9517,0.9639,0.6986,0.9593,-0.0013,-0.0017,-0.0021,-0.001,-3e-04,-3e-04,-3e-04,-0.0015,0.0076,-0.0015,0.0981506800535924,0.0997134819225112,0.0997542375135073,0.840993955633987,15.3960349851588,0,"None"
"3757",5197,0.22314355131421,3,0.008,4.7,0.1,-0.00609609456696708,-0.00581234793552213,-0.00644715875836455,0.013170076262394,0.121559025504475,0.129915282595924,0.12826707859716,103.966950475876,0.955824902333968,0.964915797914996,0.966042271862166,0.951617750175298,0.950380914194066,0.95171792046479,0.95168404170008,0.966042271862166,0.696989316931046,0.958930181308224,0.00370630071120906,0.00140336808340016,0.00230391665831914,0.00310527897425624,0.00230553327987169,0.00200340578984273,0.00200481154771451,0.0019032355003506,0.0116542570411136,0.0030051086847641,0.348617322052704,0.358103837475377,0.360408823295263,10.1969207337527,12.3038211489886,0.075,"None"
