"","X","Rep_theta","Rep_NumStudies","Rep_tau.sq","Rep_Subj","Bias_FE","Bias_REML","Bias_DL","Bias_Moreno","MSE_FE","MSE_REML","MSE_DL","MSE.Moreno","Coverage_FE","Coverage_REML","Coverage_DL","Coverage_HC_DL","Coverage_HC_REML","Coverage_KH_DL","Coverage_KH_REML","Coverage_IVHet","Coverage_Moreno","Coverage_Mult","Outside_FE","Outside_REML","Outside_DL","Outside_HC_DL","Outside_HC_REML","Outside_KH_DL","Outside_KH_REML","Outside_IVHet","Outside_Moreno","Outside_Mult","DL_I2","EmpSE_Bias_FE","EmpSE_Bias_DL","EmpSE_Bias_REML","EmpSE_Bias_Moreno","Bias_type"
"48",48,-0.12,100,1.676,60,-0.145470929053548,-0.075773787851179,-0.0757734964556167,-1.11884775102501,0.0406574813570299,0.0236674129925588,0.0236709935980204,1.53671723642961,0.1586,0.9028,0.9027,0.8117,0.8105,0.9071,0.907,0.8069,0.3885,0.7843,0.6774,0.0814,0.0823,0.1843,0.1855,0.0777,0.078,0.1891,0.6115,0.2103,96.4460006626289,0.139633949744751,0.13390729610184,0.133893759455493,0.533784075258701,"AltOut"
"49",49,0,3,0,60,-0.0925318215069401,-0.0918275643382913,-0.0918274226048538,-0.163100950224196,0.0287920173092168,0.0283514592225745,0.0283547740164226,4.07367711057161,0.9024,0.9236,0.9235,0.9102,0.9103,0.9231,0.9231,0.9229,0.693,0.9119,0.088,0.069,0.0691,0.0806,0.0803,0.0555,0.0555,0.0695,0.0756,0.0791,0,0.142238892389091,0.141154138881099,0.141142303244803,2.01183496803327,"AltOut"
"50",50,0,5,0,60,-0.0924861320072621,-0.091428111129437,-0.0914467754862936,-0.149793154649573,0.0207416016209451,0.0203437902816596,0.0203485102831594,0.481934711148482,0.8682,0.8976,0.8972,0.8816,0.8831,0.8959,0.896,0.896,0.8271,0.8847,0.1274,0.099,0.0994,0.1136,0.1121,0.0951,0.095,0.1006,0.0757,0.1117,0,0.110404419843014,0.109486055075267,0.109480086618067,0.677895770923698,"AltOut"
"51",51,0,10,0,60,-0.0949020586648251,-0.0941136219932958,-0.0941619804674943,-0.153815726692716,0.0150430847347176,0.0148051348694081,0.0148199670877582,0.152616722833517,0.7787,0.816,0.8137,0.7924,0.7964,0.7909,0.7914,0.8113,0.8724,0.8013,0.2203,0.183,0.1853,0.2062,0.2022,0.2073,0.2068,0.1877,0.0896,0.1977,0,0.0776999853582235,0.0771627107519587,0.0771255849916044,0.359124410322826,"AltOut"
"52",52,0,30,0,60,-0.0942200324596457,-0.0937531093901518,-0.0938432407460726,-0.15217495716504,0.0109189702765744,0.0108086576309307,0.0108301325484699,0.0575495674039255,0.4547,0.4905,0.4836,0.4608,0.4691,0.452,0.4524,0.4811,0.828,0.4748,0.5453,0.5095,0.5164,0.5392,0.5309,0.548,0.5476,0.5189,0.1624,0.5252,0,0.0451858377798981,0.0449864545486069,0.0449356654786837,0.185461018531343,"AltOut"
"53",53,0,50,0,60,-0.0952162385853138,-0.0948257071041523,-0.0949350662079738,-0.153607147693337,0.0103002233099024,0.0102131430327607,0.0102374462912242,0.0439286498351273,0.2332,0.2564,0.2502,0.2343,0.2417,0.2263,0.2268,0.249,0.7601,0.2456,0.7668,0.7436,0.7498,0.7657,0.7583,0.7737,0.7732,0.751,0.2353,0.7544,0,0.0351313911058352,0.0349985997649957,0.0349478245389065,0.14260269129789,"AltOut"
"54",54,0,100,0,60,-0.0953882814918864,-0.0951420408483604,-0.0952422651121342,-0.151233702918165,0.00971006202063442,0.00965868586752539,0.00967964590760456,0.0326409747415262,0.0317,0.037,0.0346,0.0319,0.0344,0.0295,0.0296,0.0342,0.6137,0.034,0.9683,0.963,0.9654,0.9681,0.9656,0.9705,0.9704,0.9658,0.3863,0.966,0,0.0247224370673386,0.0246701784688535,0.024632064562167,0.0988449233652086,"AltOut"
"55",55,0,3,0.005,60,-0.0976663531528785,-0.0964926216725493,-0.0964865063028053,-0.181700716941211,0.031417827621301,0.0307184055265662,0.03071543884409,4.20120349724662,0.8878,0.9209,0.9206,0.9079,0.9073,0.9309,0.9309,0.9205,0.6909,0.9049,0.102,0.0723,0.0722,0.0831,0.0837,0.0559,0.0559,0.0723,0.0737,0.0861,0,0.147923288271453,0.146314502831888,0.146320608464326,2.04171624062463,"AltOut"
"56",56,0,5,0.005,60,-0.0950819709529842,-0.0939160400126344,-0.0939455115958975,-0.161430457125563,0.0221585070363671,0.0216985756894598,0.021708927683812,0.508897568072339,0.8531,0.8899,0.8893,0.875,0.8753,0.896,0.8958,0.8889,0.8348,0.8739,0.1433,0.1071,0.1077,0.12,0.1203,0.0968,0.097,0.1081,0.0728,0.1231,0,0.11453924113525,0.113509721964663,0.113488506386828,0.694900038991933,"AltOut"
"57",57,0,10,0.005,60,-0.0954850661088054,-0.094543291882468,-0.0945893015906513,-0.157381894628823,0.0157151482667038,0.0154226399663876,0.0154360996429158,0.16240471820538,0.7621,0.8079,0.8052,0.789,0.7925,0.8049,0.805,0.8022,0.8709,0.7911,0.2357,0.1909,0.1936,0.2088,0.2057,0.1921,0.192,0.1964,0.0917,0.2071,0,0.0812305992710053,0.0805581319841238,0.0805285937531213,0.371011350757172,"AltOut"
